,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
352,FULLY_CONNECTED,2036,602112.0,0.109933786,-0.010210343,0.55926365,0.012191429,0.07760974,17,onnx_tf_prefix_Mul_482;onnx_tf_prefix_Add_483;onnx_tf_prefix_MatMul_484;onnx_tf_prefix_Add_4851,19.7904837,1.422692619006621
353,FULLY_CONNECTED,2040,602112.0,0.1871071,-0.017378753,0.9518654,0.03531614,0.13209178,17,onnx_tf_prefix_Mul_482;onnx_tf_prefix_Add_483;onnx_tf_prefix_MatMul_484;onnx_tf_prefix_Add_485;onnx_tf_prefix_Mul_4871,33.683403899999995,1.4226917802759609
166,FULLY_CONNECTED,1292,602112.0,0.1439237,-0.004689193,0.7780304,0.02074527,0.10157348,19,onnx_tf_prefix_Mul_218;onnx_tf_prefix_Add_219;onnx_tf_prefix_MatMul_220;onnx_tf_prefix_Add_221;onnx_tf_prefix_Mul_2231,25.9012374,1.4180097393872846
165,FULLY_CONNECTED,1288,602112.0,0.08456137,-0.002754118,0.457127,0.0071614007,0.059678875,19,onnx_tf_prefix_Mul_218;onnx_tf_prefix_Add_219;onnx_tf_prefix_MatMul_220;onnx_tf_prefix_Add_2211,15.218113125,1.4180069501528894
523,FULLY_CONNECTED,2720,602112.0,0.23009668,-0.023746556,9.818254,0.054060828,0.16409497,19,onnx_tf_prefix_Mul_722;onnx_tf_prefix_Add_723;onnx_tf_prefix_MatMul_724;onnx_tf_prefix_Add_725;onnx_tf_prefix_Mul_7271,41.84421735,1.41692243798121
522,FULLY_CONNECTED,2716,602112.0,0.13519192,-0.013951045,5.768658,0.018662194,0.096413,19,onnx_tf_prefix_Mul_722;onnx_tf_prefix_Add_723;onnx_tf_prefix_MatMul_724;onnx_tf_prefix_Add_7251,24.585315,1.4169213793597772
370,FULLY_CONNECTED,2108,602112.0,0.18789582,-0.005561419,0.815777,0.0353366,0.13532478,6,onnx_tf_prefix_Mul_506;onnx_tf_prefix_Add_507;onnx_tf_prefix_MatMul_508;onnx_tf_prefix_Add_509;onnx_tf_prefix_Mul_5111,34.507818900000004,1.3891049231240549
369,FULLY_CONNECTED,2104,602112.0,0.11039663,-0.0032580793,0.479306,0.012198318,0.07950928,6,onnx_tf_prefix_Mul_506;onnx_tf_prefix_Add_507;onnx_tf_prefix_MatMul_508;onnx_tf_prefix_Add_5091,20.2748664,1.389095660948974
526,FULLY_CONNECTED,2732,150528.0,4.6609335,-0.052349392,462.43008,24.608429,3.6667404,-108,onnx_tf_prefix_MatMul_730;onnx_tf_prefix_Add_731;onnx_tf_prefix_Mul_732,935.018802,1.3528878017904016
209,MEAN,1464,196.0,0.0011393636,6.444418e-05,0.010226262,5.3638378e-06,0.0017473681,73,onnx_tf_prefix_ReduceMean_281,0.44557886550000003,1.3254196816391528
506,FULLY_CONNECTED,2652,602112.0,0.24228606,-0.013580157,5.283869,0.05929915,0.1916226,11,onnx_tf_prefix_Mul_698;onnx_tf_prefix_Add_699;onnx_tf_prefix_MatMul_700;onnx_tf_prefix_Add_701;onnx_tf_prefix_Mul_7031,48.863763,1.2708008761265335
505,FULLY_CONNECTED,2648,602112.0,0.14235343,-0.007978178,3.104506,0.020470439,0.11258672,11,onnx_tf_prefix_Mul_698;onnx_tf_prefix_Add_699;onnx_tf_prefix_MatMul_700;onnx_tf_prefix_Add_7011,28.7096136,1.2707976740159854
387,FULLY_CONNECTED,2176,602112.0,0.17938958,0.00038891108,1.1815379,0.032204423,0.14548016,10,onnx_tf_prefix_Mul_530;onnx_tf_prefix_Add_531;onnx_tf_prefix_MatMul_532;onnx_tf_prefix_Add_533;onnx_tf_prefix_Mul_5351,37.0974408,1.2335421423357642
386,FULLY_CONNECTED,2172,602112.0,0.10539924,0.00022791876,0.69420564,0.011117214,0.085476,10,onnx_tf_prefix_Mul_530;onnx_tf_prefix_Add_531;onnx_tf_prefix_MatMul_532;onnx_tf_prefix_Add_5331,21.79638,1.2335415778553245
