op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
CONV_2D,695,25088.0,0.0012541319,-4.323992e-06,0.023937924,1.5869675e-06,0.007186645,-128,onnx_tf_prefix_Relu_113;Add_51;convolution_51;convolution_50;Const_6
TRANSPOSE,699,25088.0,0.0,0.0,0.0,0.0,0.007186645,-128,transpose_154
PAD,703,41472.0,0.0,0.0,0.0,0.0,0.007186645,-128,Pad_16
TRANSPOSE,707,41472.0,0.0,0.0,0.0,0.0,0.007186645,-128,transpose_156
CONV_2D,711,25088.0,0.0013621555,-9.703502e-06,0.0091642225,1.8776608e-06,0.006906831,-128,onnx_tf_prefix_Relu_115;Add_52;convolution_51;Const_4
CONV_2D,715,100352.0,0.020734433,0.0002018548,0.14351411,0.0004304929,0.06375281,-44,Add_53;convolution_52;Const_2
ADD,719,100352.0,0.013881662,0.001093176,0.088499434,0.00019416335,0.06658008,-128,onnx_tf_prefix_Relu_118;onnx_tf_prefix_Add_117
TRANSPOSE,723,100352.0,0.0,0.0,0.0,0.0,0.06658008,-128,transpose_160
MEAN,727,2048.0,0.0070627704,-6.364874e-05,0.030039286,5.0073726e-05,0.02413012,-128,Mean
RESHAPE,735,2048.0,0.0,0.0,0.0,0.0,0.02413012,-128,Reshape
RESHAPE,741,2048.0,0.0,0.0,0.0,0.0,0.02413012,-128,flatten/Reshape;Reshape
FULLY_CONNECTED,745,1000.0,0.061201397,0.0016540218,0.19893265,0.0037718161,0.11801155,-64,PartitionedCall:0
