,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
670,ADD,4598,49152.0,0.022853164,0.00014003659,0.12040108,0.0005223176,0.053058483,0,onnx_tf_prefix_Add_983,13.529913165,0.43073731957004696
1252,FULLY_CONNECTED,7013,49152.0,0.053632285,0.0027338248,0.25363934,0.002888511,0.12481217,9,onnx_tf_prefix_MatMul_1762;onnx_tf_prefix_Add_1763,31.82710335,0.4306060019835239
588,FULLY_CONNECTED,4257,49152.0,0.016221734,-0.000106694875,0.11882641,0.00026334505,0.037693173,-1,onnx_tf_prefix_MatMul_874;onnx_tf_prefix_Add_875,9.611759115000002,0.4305264934962725
1602,FULLY_CONNECTED,8471,49152.0,0.23029935,0.001921433,1.7237307,0.053224206,0.53632647,13,onnx_tf_prefix_MatMul_22441,136.76324985,0.43015538480835613
744,FULLY_CONNECTED,4901,49152.0,0.044924393,-0.0002689087,0.23179911,0.002027088,0.10472932,-5,onnx_tf_prefix_MatMul_1076;onnx_tf_prefix_Add_1077,26.7059766,0.4299005667432656
1248,FULLY_CONNECTED,6995,49152.0,0.0838824,-0.0035783735,0.4521301,0.007110288,0.19656046,13,onnx_tf_prefix_MatMul_1754;onnx_tf_prefix_Add_1755,50.1229173,0.4289902642749129
1046,FULLY_CONNECTED,6159,49152.0,0.116312,0.006461397,0.79811144,0.013584468,0.27315882,-9,onnx_tf_prefix_Mul_1447;onnx_tf_prefix_Add_1448;onnx_tf_prefix_MatMul_1461;onnx_tf_prefix_Add_14621,69.6554991,0.42668373648772484
1686,FULLY_CONNECTED,8820,49152.0,0.20120926,-0.011154402,0.9371397,0.04083536,0.47403473,-33,onnx_tf_prefix_MatMul_23571,120.87885615,0.42629283481745806
82,ADD,2155,49152.0,0.014267885,-0.00013656584,0.040266115,0.00020362063,0.033535413,-40,onnx_tf_prefix_Add_192,8.551530315,0.4255075096468409
334,ADD,3202,49152.0,0.023116628,0.0005198718,0.057731163,0.0005346785,0.05434737,4,onnx_tf_prefix_Add_531,13.85857935,0.4254689075015513
672,FULLY_CONNECTED,4606,49152.0,0.021630624,-0.0004550716,0.15477458,0.00046879658,0.050960157,0,onnx_tf_prefix_MatMul_987;onnx_tf_prefix_Add_988,12.994840035,0.42487527632440614
1603,FULLY_CONNECTED,8475,49152.0,0.023812065,0.0006957397,0.09426532,0.0005700279,0.056284092,-1,onnx_tf_prefix_Add_2245;onnx_tf_prefix_Mul_2246;onnx_tf_prefix_Add_2247;onnx_tf_prefix_MatMul_2248;onnx_tf_prefix_Add_2249,14.35244346,0.42419192027969255
998,ADD,5958,49152.0,0.07645222,0.0013782136,0.18183428,0.005848156,0.1805728,-22,onnx_tf_prefix_Add_1419,46.046064,0.42350363481483055
